model,solution_method,spatial_simplification,ode_method,stations_per_cell,delta_t_ratio,delta_t,time,std_time,error
0,discrete_step,none,BDF,15,0.1,0.4000550839195286,1008.6245891019935,2723.708980948999,0.004803711418674481
0,discrete_step,none,BDF,15,0.05,0.2000275419597643,1893.050621221002,2723.708980948999,0.0032202585303299034
0,discrete_step,none,BDF,15,0.025,0.10001377097988215,3373.114644910005,2723.708980948999,0.00212750393821028
1,traj_iteration,none,RK45,5,0,0,179.4729005590052,32.18218514599721,0.007247341165472216
1,discrete_step,none,RK45,5,0.1,0.4045931924632619,23.312561522994656,32.18218514599721,0.006211395490513338
1,discrete_step,none,RK45,5,0.05,0.20229659623163096,30.405776807005168,32.18218514599721,0.004283892298944242
1,discrete_step,none,RK45,5,0.025,0.10114829811581548,39.65115169000637,32.18218514599721,0.0029369339950094525
1,traj_iteration,none,RK45,10,0,0,191.2759438649955,32.18218514599721,0.00713627047881772
1,discrete_step,none,RK45,10,0.1,0.4045931924632619,25.350096562993713,32.18218514599721,0.00606946312682538
1,discrete_step,none,RK45,10,0.05,0.20229659623163096,32.886712128994986,32.18218514599721,0.004123439254303001
1,discrete_step,none,RK45,10,0.025,0.10114829811581548,42.99669862099108,32.18218514599721,0.002777524434357718
1,traj_iteration,none,RK45,15,0,0,264.468710347006,32.18218514599721,0.007025982745579612
1,discrete_step,none,RK45,15,0.1,0.4045931924632619,35.17913474497618,32.18218514599721,0.005861329474853144
1,discrete_step,none,RK45,15,0.05,0.20229659623163096,44.73380134199397,32.18218514599721,0.00396408799275692
1,discrete_step,none,RK45,15,0.025,0.10114829811581548,55.85216163302539,32.18218514599721,0.002697661109200236
1,traj_iteration,none,BDF,5,0,0,977.9351346379844,2257.410276742012,0.007247075268995103
1,discrete_step,none,BDF,5,0.1,0.4045931924632619,195.10680157601018,2257.410276742012,0.006211170416285034
1,discrete_step,none,BDF,5,0.05,0.20229659623163096,347.83406182099134,2257.410276742012,0.004283657644733553
1,discrete_step,none,BDF,5,0.025,0.10114829811581548,599.1645422900037,2257.410276742012,0.0029365441099771846
1,traj_iteration,none,BDF,10,0,0,1797.4599626960116,2257.410276742012,0.007136014503079222
1,discrete_step,none,BDF,10,0.1,0.4045931924632619,341.66392467098194,2257.410276742012,0.00603482150018264
1,discrete_step,none,BDF,10,0.05,0.20229659623163096,631.7522291640053,2257.410276742012,0.004123175550885481
1,discrete_step,none,BDF,10,0.025,0.10114829811581548,1095.4204713080253,2257.410276742012,0.002777150011000122
1,traj_iteration,none,BDF,15,0,0,2740.1524813809956,2257.410276742012,0.007025737081901944
1,discrete_step,none,BDF,15,0.1,0.4045931924632619,515.1594630590116,2257.410276742012,0.005861017564407789
1,discrete_step,none,BDF,15,0.05,0.20229659623163096,945.7987619829946,2257.410276742012,0.0039638023994927165
1,discrete_step,none,BDF,15,0.025,0.10114829811581548,1644.6230432020093,2257.410276742012,0.002697281726147501
2,traj_iteration,none,RK45,5,0,0,257.5681385130156,46.291486661997624,0.00678197651923772
2,discrete_step,none,RK45,5,0.1,0.4022007807034487,32.97734813397983,46.291486661997624,0.006130077811567635
2,discrete_step,none,RK45,5,0.05,0.20110039035172436,42.91307111099013,46.291486661997624,0.003887463642879636
2,discrete_step,none,RK45,5,0.025,0.10055019517586218,55.08388845200534,46.291486661997624,0.0025001572872231374
2,traj_iteration,none,RK45,10,0,0,327.26802752699587,46.291486661997624,0.006520659628396798
2,discrete_step,none,RK45,10,0.1,0.4022007807034487,41.64559996200842,46.291486661997624,0.0057398206455701855
2,discrete_step,none,RK45,10,0.05,0.20110039035172436,53.55131446500309,46.291486661997624,0.0037607611707384087
2,discrete_step,none,RK45,10,0.025,0.10055019517586218,68.73593416600488,46.291486661997624,0.002485025674852166
2,traj_iteration,none,RK45,15,0,0,389.88248978799675,46.291486661997624,0.006260244185233766
2,discrete_step,none,RK45,15,0.1,0.4022007807034487,49.79731847002404,46.291486661997624,0.005563586782912832
2,discrete_step,none,RK45,15,0.05,0.20110039035172436,63.53769494299195,46.291486661997624,0.0036511625611970987
2,discrete_step,none,RK45,15,0.025,0.10055019517586218,79.2662601560005,46.291486661997624,0.002381838372342945
2,traj_iteration,none,BDF,5,0,0,1279.3952695920016,3027.0149994579842,0.006781982600366551
2,discrete_step,none,BDF,5,0.1,0.4022007807034487,343.4441937090014,3027.0149994579842,0.006130131948130488
2,discrete_step,none,BDF,5,0.05,0.20110039035172436,566.7379336150188,3027.0149994579842,0.003887534525802799
2,discrete_step,none,BDF,5,0.025,0.10055019517586218,1050.2763583530032,3027.0149994579842,0.0025001226082383065
2,traj_iteration,none,BDF,10,0,0,2833.6757468050055,3027.0149994579842,0.006520637312827608
2,discrete_step,none,BDF,10,0.1,0.4022007807034487,559.9240316030046,3027.0149994579842,0.005739846887323133
