model,n_stations,solution_method,spatial_simplification,ode_method,stations_per_cell,delta_t_ratio_or_epsilon,delta_t_or_n_iterations,time,std_time,error_sum_metric,error_max_metric
2,88,traj_iteration,parallel,BDF,10,0.5,4,70.9021685346961,497.6745982654393,0.0010365457297363983,9.931777924792083e-05
2,88,traj_iteration,parallel_limit,BDF,10,0.5,5,79.85372050851583,497.6745982654393,0.00618795960792799,0.0008399661335596922
2,88,traj_iteration,parallel,BDF,10,0.25,5,83.57328005507588,497.6745982654393,0.0006409266049467647,3.302694050606546e-05
2,88,traj_iteration,parallel_limit,BDF,10,0.25,5,81.57864463329315,497.6745982654393,0.00618795960792799,0.0008399661335596922
2,88,traj_iteration,parallel,BDF,15,2,3,66.2501949891448,497.6745982654393,0.00471178287586631,0.0006092275671355994
2,88,traj_iteration,parallel_limit,BDF,15,2,4,74.9830910526216,497.6745982654393,0.007520956528147221,0.0010703410495002893
2,88,traj_iteration,parallel,BDF,15,1,4,82.88052261248231,497.6745982654393,0.0009418652814693786,8.545065009546238e-05
2,88,traj_iteration,parallel_limit,BDF,15,1,5,96.15124675258994,497.6745982654393,0.005790092067026864,0.0007920844305259804
2,88,traj_iteration,parallel,BDF,15,0.5,4,84.1508152000606,497.6745982654393,0.0009418652814693786,8.545065009546238e-05
2,88,traj_iteration,parallel_limit,BDF,15,0.5,5,96.62581749632955,497.6745982654393,0.005790092067026864,0.0007920844305259804
2,88,traj_iteration,parallel,BDF,15,0.25,5,99.03843918070197,497.6745982654393,0.0006294620447220912,3.2476594239783986e-05
2,88,traj_iteration,parallel_limit,BDF,15,0.25,5,97.84034321457148,497.6745982654393,0.005790092067026864,0.0007920844305259804
3,92,traj_iteration,parallel,RK45,5,2,4,11.884677331894636,18.593281771987677,0.0007780633669960404,4.899114188716477e-05
3,92,traj_iteration,parallel_limit,RK45,5,2,4,11.085801113396883,18.593281771987677,0.006377034966561834,0.0008574821824832181
3,92,traj_iteration,parallel,RK45,5,1,4,12.151131302118301,18.593281771987677,0.0007780633669960404,4.899114188716477e-05
3,92,traj_iteration,parallel_limit,RK45,5,1,5,13.48056148737669,18.593281771987677,0.006096479577448738,0.0008555956267890766
3,92,traj_iteration,parallel,RK45,5,0.5,4,12.707188710570335,18.593281771987677,0.0007780633669960404,4.899114188716477e-05
3,92,traj_iteration,parallel_limit,RK45,5,0.5,5,13.81132136285305,18.593281771987677,0.006096479577448738,0.0008555956267890766
3,92,traj_iteration,parallel,RK45,5,0.25,4,12.555016621947289,18.593281771987677,0.0007780633669960404,4.899114188716477e-05
3,92,traj_iteration,parallel_limit,RK45,5,0.25,5,15.644948609173298,18.593281771987677,0.006096479577448738,0.0008555956267890766
3,92,traj_iteration,parallel,RK45,10,2,3,14.066000703722239,18.593281771987677,0.0024725040798535373,0.0003090881602797634
3,92,traj_iteration,parallel_limit,RK45,10,2,4,16.921684447675943,18.593281771987677,0.0057930994325826575,0.0007663830048112438
3,92,traj_iteration,parallel,RK45,10,1,4,20.131160099059343,18.593281771987677,0.0006817945627727244,4.0448950156338716e-05
3,92,traj_iteration,parallel_limit,RK45,10,1,5,19.64833053573966,18.593281771987677,0.005773181896042326,0.0007663284607725958
3,92,traj_iteration,parallel,RK45,10,0.5,4,18.541138622909784,18.593281771987677,0.0006817945627727244,4.0448950156338716e-05
3,92,traj_iteration,parallel_limit,RK45,10,0.5,5,19.46507842466235,18.593281771987677,0.005773181896042326,0.0007663284607725958
