model,solution_method,spatial_simplification,ode_method,stations_per_cell,delta_t_ratio_or_epsilon,delta_t_or_n_iterations,time,std_time,error_sum_metric,error_max_metric
0,72,discrete_step,strict,BDF,10,0.025,0.09713136817792485,1.6738207265734673,406.66214403510094,0.059939907321193454,0.014138406396208825
0,72,traj_iteration,strict,BDF,15,2,9,4.156037122011185,406.66214403510094,0.012141307594732103,0.007989251442916793
0,72,traj_iteration,strict,BDF,15,1,10,4.60094279050827,406.66214403510094,0.012044394506942268,0.007989251440386619
0,72,traj_iteration,strict,BDF,15,0.5,11,5.04169699922204,406.66214403510094,0.012015972065379472,0.00798925144033641
0,72,discrete_step,strict,BDF,15,0.1,0.3885254727116994,0.7682263255119324,406.66214403510094,0.05319322203906046,0.011120701949271544
0,72,discrete_step,strict,BDF,15,0.05,0.1942627363558497,0.9030889049172401,406.66214403510094,0.05699114705164583,0.012298205928435394
0,72,discrete_step,strict,BDF,15,0.025,0.09713136817792485,1.2971910014748573,406.66214403510094,0.05986818305145094,0.013151202453149574
1,66,traj_iteration,strict,RK45,5,2,5,2.6200121082365513,15.86455438286066,0.028039921287806406,0.011213804301015193
1,66,traj_iteration,strict,RK45,5,1,8,4.000359117984772,15.86455438286066,0.017907245142797183,0.011206821570631072
1,66,traj_iteration,strict,RK45,5,0.5,10,4.8086452297866344,15.86455438286066,0.01668685888306727,0.011206820211393714
1,66,discrete_step,strict,RK45,5,0.1,0.40319253085912365,0.6333472244441509,15.86455438286066,0.056191097038457774,0.016455841984908275
1,66,discrete_step,strict,RK45,5,0.05,0.20159626542956183,0.7563801370561123,15.86455438286066,0.060054665430738535,0.01749394763118757
1,66,discrete_step,strict,RK45,5,0.025,0.10079813271478091,1.1414320170879364,15.86455438286066,0.06342318513936751,0.018381537423475012
1,66,traj_iteration,strict,RK45,10,2,9,2.35639613494277,15.86455438286066,0.018005023593390918,0.01137312732342935
1,66,traj_iteration,strict,RK45,10,1,10,2.5680536292493343,15.86455438286066,0.017919512951653258,0.01137312731262036
1,66,traj_iteration,strict,RK45,10,0.5,11,2.7832383178174496,15.86455438286066,0.01790362222536622,0.011373127312310124
1,66,discrete_step,strict,RK45,10,0.1,0.40319253085912365,0.35517900064587593,15.86455438286066,0.05732207970408728,0.01697628131281722
1,66,discrete_step,strict,RK45,10,0.05,0.20159626542956183,0.41587577760219574,15.86455438286066,0.06139016878616393,0.0181006809361896
1,66,discrete_step,strict,RK45,10,0.025,0.10079813271478091,0.6445062905550003,15.86455438286066,0.06445997592935199,0.01889252069726346
1,66,traj_iteration,strict,RK45,15,2,9,1.4010961391031742,15.86455438286066,0.011937946300039892,0.007850644563141614
