model,solution_method,spatial_simplification,ode_method,stations_per_cell,delta_t_ratio_or_epsilon,delta_t_or_n_iterations,time,std_time,error_sum_metric,error_max_metric
0,81,discrete_step,strict,RK45,15,0.1,0.4014894363800622,0.6827785074710846,52.589424677193165,0.052468675478684904,0.009383695148141294
0,81,discrete_step,none,RK45,15,0.1,0.4014894363800622,40.58747846633196,52.589424677193165,0.027547421984553625,0.007624928122635028
0,81,discrete_step,strict,RK45,15,0.05,0.2007447181900311,0.7835766524076462,52.589424677193165,0.055814629818304665,0.01038163419415382
0,81,discrete_step,none,RK45,15,0.05,0.2007447181900311,49.629884514957666,52.589424677193165,0.01593027414662875,0.0054703935731708975
0,81,discrete_step,strict,RK45,15,0.025,0.10037235909501555,1.1592067927122116,52.589424677193165,0.05863125283802536,0.011089653149572295
0,81,discrete_step,none,RK45,15,0.025,0.10037235909501555,60.382709324359894,52.589424677193165,0.008368357460024777,0.003598163781771345
0,81,traj_iteration,strict,BDF,5,2,10,23.573858741670847,1761.3632428385317,0.029001910823078715,0.011724669265856991
0,81,traj_iteration,strict,BDF,5,1,11,25.80745728686452,1761.3632428385317,0.029103021106853488,0.011724669466719132
0,81,traj_iteration,strict,BDF,5,0.5,12,28.042121279984713,1761.3632428385317,0.029207841176415617,0.011763140515811359
0,81,traj_iteration,none,BDF,5,2,6,672.3743804842234,1761.3632428385317,0.0119634399518386,0.004179086143445264
0,81,traj_iteration,none,BDF,5,1,9,1040.5911601372063,1761.3632428385317,0.0033415059788761254,0.00189035061532024
0,81,traj_iteration,none,BDF,5,0.5,11,1291.0186754390597,1761.3632428385317,0.0016932076776083138,0.000815970581993813
0,81,discrete_step,strict,BDF,5,0.1,0.4014894363800622,4.429867386817932,1761.3632428385317,0.051870752897156355,0.01086264553571294
0,81,discrete_step,none,BDF,5,0.1,0.4014894363800622,188.18059309199452,1761.3632428385317,0.032403736792200474,0.00850938649844581
0,81,discrete_step,strict,BDF,5,0.05,0.2007447181900311,5.663090076297522,1761.3632428385317,0.05456473849465047,0.011236507063614471
0,81,discrete_step,none,BDF,5,0.05,0.2007447181900311,300.19657331705093,1761.3632428385317,0.01927763917148354,0.006115130570000669
0,81,discrete_step,strict,BDF,5,0.025,0.10037235909501555,7.998511157929897,1761.3632428385317,0.0575664059487841,0.01180160851051306
0,81,discrete_step,none,BDF,5,0.025,0.10037235909501555,550.8430150412023,1761.3632428385317,0.010384138661386091,0.004127146550255396
0,81,traj_iteration,strict,BDF,10,2,10,15.23981036990881,1761.3632428385317,0.02448498968167487,0.009041637251734921
0,81,traj_iteration,strict,BDF,10,1,12,18.23521739244461,1761.3632428385317,0.024679330334089027,0.009041637253928132
0,81,traj_iteration,strict,BDF,10,0.5,13,19.716155357658863,1761.3632428385317,0.024688606288583808,0.009041637253930541
0,81,traj_iteration,none,BDF,10,2,6,1236.7812543287873,1761.3632428385317,0.010264491100805077,0.0039039479580082145
0,81,traj_iteration,none,BDF,10,1,8,1710.1871017552912,1761.3632428385317,0.004104817159640214,0.002222151061064024
0,81,traj_iteration,none,BDF,10,0.5,10,2190.7697807624936,1761.3632428385317,0.0018173013085019856,0.0011262599001704491
0,81,discrete_step,strict,BDF,10,0.1,0.4014894363800622,2.31339967623353,1761.3632428385317,0.052607340346821685,0.010641814935285933
0,81,discrete_step,none,BDF,10,0.1,0.4014894363800622,301.1513203345239,1761.3632428385317,0.03057418496339651,0.008251139274240902
0,81,discrete_step,strict,BDF,10,0.05,0.2007447181900311,2.905569840222597,1761.3632428385317,0.05554416976046458,0.011130407863755099
0,81,discrete_step,none,BDF,10,0.05,0.2007447181900311,498.01699537038803,1761.3632428385317,0.01801112947520628,0.005902721223165545
0,81,discrete_step,strict,BDF,10,0.025,0.10037235909501555,3.975290149450302,1761.3632428385317,0.05830738996518183,0.011746489769081528
0,81,discrete_step,none,BDF,10,0.025,0.10037235909501555,861.0938753411174,1761.3632428385317,0.009607462118980161,0.003948922094233414
0,81,traj_iteration,strict,BDF,15,2,10,11.228419248014688,1761.3632428385317,0.013734265838059468,0.008316591952196353
0,81,traj_iteration,strict,BDF,15,1,11,12.349022407084703,1761.3632428385317,0.013841115768967825,0.00838570803121275
0,81,traj_iteration,strict,BDF,15,0.5,12,13.464929357171059,1761.3632428385317,0.01387510828054134,0.00840263815554814
0,81,traj_iteration,none,BDF,15,2,6,1885.0246320590377,1761.3632428385317,0.007716681005101049,0.0032869885444115313
0,81,traj_iteration,none,BDF,15,1,8,2591.2690603621304,1761.3632428385317,0.0027132986256192845,0.0016497832321077173
0,81,traj_iteration,none,BDF,15,0.5,9,2958.0085689350963,1761.3632428385317,0.0017238348413052226,0.0010930767922453228
0,81,discrete_step,strict,BDF,15,0.1,0.4014894363800622,1.6538269743323326,1761.3632428385317,0.052468068879613944,0.009386093886363673
0,81,discrete_step,none,BDF,15,0.1,0.4014894363800622,521.2569992728531,1761.3632428385317,0.027540171374095607,0.007625040315966781
0,81,discrete_step,strict,BDF,15,0.05,0.2007447181900311,2.019118957221508,1761.3632428385317,0.05581330611407802,0.010378292824361018
0,81,discrete_step,none,BDF,15,0.05,0.2007447181900311,781.3645273782313,1761.3632428385317,0.015939235088409713,0.005453429562342222
0,81,discrete_step,strict,BDF,15,0.025,0.10037235909501555,2.759978350251913,1761.3632428385317,0.0586296577631307,0.011088066150664915
0,81,discrete_step,none,BDF,15,0.025,0.10037235909501555,1335.5509980469942,1761.3632428385317,0.008388853054927089,0.003604532888141313
1,88,traj_iteration,strict,RK45,5,2,11,21.637295063585043,63.97738058120012,0.02496223993991592,0.023980637213129298
1,88,traj_iteration,strict,RK45,5,1,12,23.26694581657648,63.97738058120012,0.02497417656327547,0.024033497369110375
1,88,traj_iteration,strict,RK45,5,0.5,12,23.266948129981756,63.97738058120012,0.02497417656327547,0.024033497369110375
1,88,traj_iteration,none,RK45,5,2,5,120.87986118346453,63.97738058120012,0.016948639395842763,0.003417520355018449
1,88,traj_iteration,none,RK45,5,1,7,168.6549286879599,63.97738058120012,0.008453062029648958,0.0019882362422092214
